N,average_elapsed_time,gflops
1,4.05312e-07,0.00493448
11,2.0051e-05,0.132761
21,0.000101089,0.183224
31,0.000317609,0.187595
41,0.000694668,0.198429
51,0.00133114,0.199305
61,0.00227133,0.199866
71,0.00354091,0.202158
81,0.00529808,0.200617
91,0.0074411,0.202543
101,0.0101775,0.202466
100,0.0098591,0.202858
200,0.078327,0.204272
300,0.268103,0.201415
400,0.664422,0.192649
500,1.3637,0.183325
600,2.26118,0.191051
700,3.6457,0.188167
800,5.4114,0.18923
900,7.70003,0.18935
1000,10.5918,0.188825
1,5.36442e-07,0.00372827
11,3.11017e-05,0.0855902
21,0.000200903,0.0921936
31,0.000632656,0.0941776
41,0.0014382,0.0958434
51,0.00278352,0.0953115
61,0.00469844,0.0966197
71,0.00670598,0.106744
81,0.00901641,0.117883
91,0.0126516,0.119126
100,0.0154386,0.129546
200,0.124642,0.128367
300,0.428023,0.126161
400,1.04834,0.122098
500,2.04889,0.122017
600,3.42535,0.126118
700,5.91839,0.11591
800,8.87545,0.115374
900,12.9141,0.1129
1000,20.4748,0.097681
